Name,PrimaryTechnology,StatusDetail,x_Coordinate,y_Coordinate,Status,SizeCategory
Isle of Luing Wind Farm,Wind,Awaiting Construction,174143,707638,In development,Small to medium (>=45kW and <1MW)
Pauls Hill 2,Wind,Awaiting Construction,311500,840500,In development,Large (1MW+)
Limekiln Wind Farm (Extension),Wind,Application Submitted,300298,961309,In development,Large (1MW+)
West Dykes,Wind,Awaiting Construction,266058,639006,In development,Large (1MW+)
Troston Loch,Wind,Awaiting Construction,268466,590107,In development,Large (1MW+)
Ackron Wind Farm Wind Farm,Wind,Application Submitted,291200,962500,In development,Large (1MW+)
Strath Tirry Wind Farm,Wind,Application Submitted,257880,914516,In development,Large (1MW+)
Cairnmore Hill Wind Farm,Wind,Application Submitted,305897,968734,In development,Large (1MW+)
Scoop Hill Wind Farm,Wind,Application Submitted,315500,598500,In development,Large (1MW+)
Mochrum Fell Wind Farm,Wind,Application Submitted,269420,572995,In development,Large (1MW+)
Cumberhead West Wind Farm,Wind,Application Submitted,281169,635550,In development,Large (1MW+)
Forss Wind Farm,Wind,Application Submitted,302336,969496,In development,Large (1MW+)
Euchanhead Wind Farm,Wind,Application Submitted,266343,604138,In development,Large (1MW+)
Plascow Wind Turbine,Wind,Application Submitted,288038,563854,In development,Unknown
Berry Burn Wind Farm (extension),Wind,Application Submitted,311550,840550,In development,Large (1MW+)
Lorg Windfarm,Wind,Awaiting Construction,263239,601647,In development,Large (1MW+)
Lochluichart Extension II,Wind,Awaiting Construction,232487,868453,In development,Large (1MW+)
Brownhill Farm (Resubmission),Wind,Awaiting Construction,288880,662140,In development,Large (1MW+)
Meall Buidhe Wind Farm,Wind,Application Submitted,245556,895446,In development,Large (1MW+)
Skelmonae Wind Farm Extension,Wind,Application Submitted,394382,836777,In development,Large (1MW+)
Crossdykes,Wind,Under Construction,325400,587500,In development,Large (1MW+)
Fell Wind Farm,Wind,Application Submitted,272679,583776,In development,Large (1MW+)
