Name,PrimaryTechnology,StatusDetail,x_Coordinate,y_Coordinate,Status,SizeCategory,longitude,latitude
Cairnhill Farm solar park,Photovoltaic,Operational,377824.0,852312.0,Operational,Large (1MW+),-2.372289455533158,57.560334336758736
Aldi Distribution Centre,Photovoltaic,Operational,296982.0,666291.0,Operational,Large (1MW+),-3.648231268095948,55.87871592123388
Mackies Dairy PV,Photovoltaic,Operational,376700.0,832011.0,Operational,Large (1MW+),-2.3891308768592086,57.377927075171534
Mull of Kintyre,Tidal Stream,Awaiting Construction,157228.0,603340.0,In development,Large (1MW+),-5.822712686658888,55.264255077102675
Sound of Islay,Tidal Stream,Awaiting Construction,143843.0,667672.0,In development,Large (1MW+),-6.092387589720872,55.83406304047826
Inner Sound Phase 1B/1C (MeyGen),Tidal Stream,Awaiting Construction,335503.0,984335.0,In development,Large (1MW+),-3.116015116234937,58.741829377362066
Shetland Tidal Array,Tidal Stream,Operational,440389.0,1183121.0,Operational,Small to medium (>=45kW and <1MW),-1.265955122496672,60.529669576725276
Shetland Tidal Array (extension),Tidal Stream,Awaiting Construction,440389.0,1183121.0,In development,Large (1MW+),-1.265955122496672,60.529669576725276
West Islay Tidal Array,Tidal Stream,Awaiting Construction,116500.0,652500.0,In development,Large (1MW+),-6.511845415427638,55.68289330156784
Magallanes (FoW - EMEC),Tidal Stream,Operational,354000.0,1028400.0,Operational,Large (1MW+),-2.805666436689013,59.139890557105254
SR-2000 (FoW - EMEC),Tidal Stream,Operational,354000.0,1028400.0,Operational,Large (1MW+),-2.805666436689013,59.139890557105254
Brims Tidal Array (Cantick Head),Tidal Stream,Application Submitted,328689.0,986676.0,In development,Large (1MW+),-3.234453373515833,58.76177522890242
Inner Sound Phase 1A (MeyGen),Tidal Stream,Operational,335503.0,984335.0,Operational,Large (1MW+),-3.116015116234937,58.741829377362066
Dundee Technology Park,Other,Awaiting Construction,335237.0,731592.0,In development,Large (1MW+),-3.052848735695076,56.4719728328055
Learielaw Farm,Other,Awaiting Construction,308286.0,670876.0,In development,Large (1MW+),-3.46917487018259,55.922183756100225
Blackpark Energy Storage (Resubmission),Other,Awaiting Construction,289892.0,855084.0,In development,Large (1MW+),-3.8426317595617068,57.5723410627231
Troston Loch Wind Farm,Other,Awaiting Construction,268466.0,590107.0,In development,Large (1MW+),-4.067511457054663,55.187691683743495
"Torrdhuin, Auchteraw Battery Storage Facility",Other,Application Submitted,234761.0,807618.0,In development,Large (1MW+),-4.731551182792826,57.129657392432854
"Platchaig House, Kilmorack - Battery Storage Facility",Other,Application Submitted,249707.0,844935.0,In development,Unknown,-4.507610277523341,57.469682802249004
East Ballochy,Other,Awaiting Construction,367035.0,761826.0,In development,Large (1MW+),-2.540607164983397,56.746879712917355
Perth Wastewater Treatment Works (Extension),Other,Awaiting Construction,314371.0,722017.0,In development,Unknown,-3.3883074621286706,56.38264267659393
Drumcross Battery Storage,Other,Awaiting Construction,305280.0,667171.0,In development,Large (1MW+),-3.515958513269175,55.88832335953251
Fell Wind Farm Battery,Other,Application Submitted,272679.0,583776.0,In development,Unknown,-3.998539262156924,55.13194089266812
Cornharrow Wind Farm Battery,Other,Application Submitted,266701.0,592862.0,In development,Unknown,-4.096513006858265,55.21195787671023
Tormywheel Wind Farm,Other,Awaiting Construction,295290.0,658102.0,In development,Large (1MW+),-3.6721018433074297,55.80480578769601
Land SW of Shilton Cottage,Other,Awaiting Construction,243794.0,671266.0,In development,Large (1MW+),-4.500508334960328,55.909059387067465
Aikengall II Community Wind Farm Battery,Other,Awaiting Construction,367967.0,668389.0,In development,Large (1MW+),-2.51395955811875,55.90752986692254
Land To The East Of Wholeflats Road (Grangemouth),Other,Awaiting Construction,293973.0,679925.0,In development,Large (1MW+),-3.701664946864977,56.0005068014622
Bilbo Solar Farm Energy Storage,Other,Under Construction,405327.0,855492.0,In development,Large (1MW+),-1.9125627575202808,57.58941839168694
Whitelaw Brae Wind farm,Other,Awaiting Construction,306039.0,621476.0,In development,Large (1MW+),-3.488155285008589,55.478042253877476
STOR Field 9,Other,Awaiting Construction,313196.0,683767.0,In development,Large (1MW+),-3.3947963304490694,56.03888272488217
Berfern Farm,Other,Awaiting Construction,220467.0,671157.0,In development,Large (1MW+),-4.873118753227984,55.89994511072164
Drumfad Wood,Other,Awaiting Construction,231381.0,684279.0,In development,Large (1MW+),-4.706994331607637,56.02165685125015
Shindour Feddal Hill Wood Braco,Other,Awaiting Construction,281015.0,709090.0,In development,Large (1MW+),-3.922342707298447,56.25934749131853
Orchardbank Industrial Estate,Other,Awaiting Construction,344086.0,750088.0,In development,Large (1MW+),-2.913227489847102,56.639251305342
Ardoch Farm,Other,Awaiting Construction,231148.0,644103.0,In development,Large (1MW+),-4.685733242956817,55.66100208342738
